Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
Maroon 5 - What Lovers Do,68,10.0,5,,23951075,651050835
Maluma - Seg̼n Qui̩n,49,,17,,19645984,650720813
Feid - Feliz Cumplea̱os Ferxxo,54,,32,,16329306,645307890
Anne-Marie - 2002,87,,27,,13698716,644432285
Shawn Mendes - Stitches,100,20.0,5,,15301964,643947324
Harry Styles - Late Night Talking,48,3.0,2,(x1),46528433,643040689
The Ronettes - Sleigh Ride,42,,12,,44724316,642424024
The Weeknd - Can't Feel My Face,84,29.0,1,(x1),19390352,641671404
Charli xcx - Guess featuring billie eilish,45,2.0,5,,39261241,634754786
Yandel - Yandel 150,35,7.0,8,,26978839,631334119
Oscar Maydon - Tu Boda,38,5.0,5,,40246472,630998033
Fuerza Regida - Marlboro Rojo,51,,20,,18751053,629637312
Logic - 1-800-273-8255,62,9.0,5,,23662238,629521089
Twenty One Pilots - Heathens,61,13.0,4,,26546200,629357576
casș - Prada,46,,17,,18856031,628551855
Rauw Alejandro - Desesperados,53,8.0,8,,19550632,619973040
Taylor Swift - Style,53,,24,,17697605,619584897
